brand,model,source_type,url,source_domain,research_rank,research_confidence,http_status,final_url,content_hash,content_type,fetched_at,source_validation,extraction_status,queue_reason
Polestar,4,manufacturer_specs_page,https://www.polestar.com/se/polestar-4/specifications/,polestar.com,5,high,200,https://www.polestar.com/se/polestar-4-models/polestar-4-coupe/specifications/,ab701b26c7020a7bf42e74527299cbdf9d3a28898ebcfa7423fdf9456c97f70a,text/html,2026-05-15T17:48:22.637268+00:00,reachable_official_model_source,queued,best_reachable_official_source_for_model
Kia,EV3,manufacturer_price_list,https://www.kia.com/se/kopa/prislista/,kia.com,6,high,200,https://www.kia.com/se/kopa/prislista/,dcf6b34e5de45d4dfffce96ee3e032caca87aac5370c0e36b18506d196370d56,text/html; charset=UTF-8,2026-05-15T17:48:24.376302+00:00,reachable_official_model_source,queued,best_reachable_official_source_for_model
Toyota,bZ4X,manufacturer_model_page,https://www.toyota.se/nya-bilar/bz4x/,toyota.se,7,high,200,https://www.toyota.se/bilar/bz4x,3a71fa58ead3523cee0a77556006644408846eaa67fc069ba6c4b7903eb55720,text/html;charset=utf-8,2026-05-15T17:48:25.788211+00:00,reachable_official_model_source,queued,best_reachable_official_source_for_model
Kia,EV5,manufacturer_price_list,https://www.kia.com/se/kopa/prislista/,kia.com,8,high,200,https://www.kia.com/se/kopa/prislista/,dcf6b34e5de45d4dfffce96ee3e032caca87aac5370c0e36b18506d196370d56,text/html; charset=UTF-8,2026-05-15T17:48:26.267891+00:00,reachable_official_model_source,queued,best_reachable_official_source_for_model
Skoda,Enyaq,manufacturer_price_list,https://www.skoda.se/_doc/1d23f075-2685-40f9-ad6f-a31b09f3d660,skoda.se,9,high,200,https://www.skoda.se/_doc/1d23f075-2685-40f9-ad6f-a31b09f3d660,e5b8339cccd57f230fd9a7340a2a011e6e3dbef11f1a1b9e463731c484b8d1d8,application/pdf,2026-05-15T17:48:27.397319+00:00,reachable_official_model_source,queued,best_reachable_official_source_for_model
Volkswagen,ID.4,manufacturer_model_page,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id4.html,volkswagen.se,10,medium,200,https://www.volkswagen.se/sv/modeller/id4.html,e36a3771ba8ad199fd8c90081fdbaa1ac1ea61258eda33ee704a7875bcb599b7,text/html;charset=utf-8,2026-05-15T17:48:28.597129+00:00,reachable_official_model_source,queued,best_reachable_official_source_for_model
Kia,EV9,manufacturer_price_list,https://www.kia.com/se/kopa/prislista/,kia.com,12,high,200,https://www.kia.com/se/kopa/prislista/,dcf6b34e5de45d4dfffce96ee3e032caca87aac5370c0e36b18506d196370d56,text/html; charset=UTF-8,2026-05-15T17:48:29.076905+00:00,reachable_official_model_source,queued,best_reachable_official_source_for_model
Renault,5 E-Tech,manufacturer_price_list,https://www.renault.se/personbilar/elbilar/r5-e-tech-electric/versioner_och_priser,renault.se,14,high,200,https://www.renault.se/personbilar/elbilar/r5-e-tech-electric/versioner_och_priser,75f78e6d1baeee7e6d7c166fcae09e87cdd3af4dc59554de14caa9dfd6373a46,text/html; charset=utf-8,2026-05-15T17:49:09.135098+00:00,reachable_official_model_source,queued,best_reachable_official_source_for_model
BMW,iX1,manufacturer_configurator,https://hitta.bmw.se/r/U11-iX1,bmw.se,15,high,200,https://hitta.bmw.se/r/U11-iX1,ed5182b5d5c226e835ee9f91d67387eb5d7d711bee54136225f8658c2fb7292a,text/html; charset=utf-8,2026-05-15T17:49:38.709792+00:00,reachable_official_model_source,queued,best_reachable_official_source_for_model
BMW,iX3,manufacturer_configurator,https://hitta.bmw.se/r/NA5-iX3,bmw.se,18,high,200,https://hitta.bmw.se/r/NA5-iX3,5c0943838ad929bc00d2fd2e13423a6f13effae6f50ed2f2d72748eeb84645b3,text/html; charset=utf-8,2026-05-15T17:50:03.688067+00:00,reachable_official_model_source,queued,best_reachable_official_source_for_model
Kia,EV6,manufacturer_price_list,https://www.kia.com/se/kopa/prislista/,kia.com,19,high,200,https://www.kia.com/se/kopa/prislista/,dcf6b34e5de45d4dfffce96ee3e032caca87aac5370c0e36b18506d196370d56,text/html; charset=UTF-8,2026-05-15T17:50:03.931092+00:00,reachable_official_model_source,queued,best_reachable_official_source_for_model
