market_model_key,month,brand_raw,model_raw,fuel_type_raw,registrations
volvo:ex xc40:EL,2026-03-01,VOLVO,EX/XC40,EL,988
tesla:model y:EL,2026-03-01,TESLA,MODEL Y,EL,1382
volvo:ex30:EL,2026-03-01,VOLVO,EX30,EL,592
volkswagen:id 7 id 7 tourer:EL,2026-03-01,VW,ID.7/ID.7 TOURER,EL,548
polestar:4:EL,2026-03-01,POLESTAR,4,EL,496
kia:ev3:EL,2026-03-01,KIA,EV3,EL,422
toyota:bz4x:EL,2026-03-01,TOYOTA,BZ4X,EL,263
kia:ev5:EL,2026-03-01,KIA,EV5,EL,340
skoda:enyaq:EL,2026-03-01,SKODA,ENYAQ,EL,219
volkswagen:id 4:EL,2026-03-01,VW,ID.4,EL,295
volvo:ec c40:EL,2026-03-01,VOLVO,EC/C40,EL,241
kia:ev9:EL,2026-03-01,KIA,EV9,EL,199
mercedes benz:eqa:EL,2026-03-01,MERCEDES,EQA,EL,288
renault:5:EL,2026-03-01,RENAULT,5,EL,196
bmw:ix1:EL,2026-03-01,BMW,IX1,EL,198
mercedes benz:cla:EL,2026-03-01,MERCEDES,CLA,EL,204
tesla:model 3:EL,2026-03-01,TESLA,MODEL 3,EL,397
bmw:ix3:EL,2026-03-01,BMW,IX3,EL,318
kia:ev6:EL,2026-03-01,KIA,EV6,EL,127
audi:q4 e tron:EL,2026-03-01,AUDI,Q4 E-TRON,EL,150
audi:a6 e tron:EL,2026-03-01,AUDI,A6 E-TRON,EL,127
bmw:i4:EL,2026-03-01,BMW,I4,EL,129
bmw:i5:EL,2026-03-01,BMW,I5,EL,128
volkswagen:id 3:EL,2026-03-01,VW,ID.3,EL,82
ford:explorer:EL,2026-03-01,FORD,EXPLORER,EL,116
cupra:born:EL,2026-03-01,CUPRA,BORN,EL,87
zeekr:7x:EL,2026-03-01,ZEEKR,7X,EL,129
audi:q6 e tron:EL,2026-03-01,AUDI,Q6 E-TRON,EL,111
kia:ev4:EL,2026-03-01,KIA,EV4,EL,130
polestar:2:EL,2026-03-01,POLESTAR,2,EL,90
volvo:es90:EL,2026-03-01,VOLVO,ES90,EL,27
mazda:6e:EL,2026-03-01,MAZDA,6E,EL,117
skoda:elroq:EL,2026-03-01,SKODA,ELROQ,EL,75
renault:scenic:EL,2026-03-01,RENAULT,SCENIC,EL,95
volkswagen:id buzz:EL,2026-03-01,VW,ID. BUZZ,EL,77
volvo:ex90:EL,2026-03-01,VOLVO,EX90,EL,39
bmw:ix:EL,2026-03-01,BMW,IX,EL,58
mg:mg4 electric:EL,2026-03-01,MG,MG4 ELECTRIC,EL,62
mercedes benz:eqe:EL,2026-03-01,MERCEDES,EQE,EL,39
polestar:3:EL,2026-03-01,POLESTAR,3,EL,42
lexus:rz:EL,2026-03-01,LEXUS,RZ,EL,45
toyota:c hr:EL,2026-03-01,TOYOTA,C-HR+,EL,106
xpeng:g6:EL,2026-03-01,XPENG,G6,EL,49
mercedes benz:eqb:EL,2026-03-01,MERCEDES,EQB,EL,26
subaru:solterra:EL,2026-03-01,SUBARU,SOLTERRA,EL,34
