rank,mvp_scope,brand,model,registrations_ytd,candidate_count,validated_count,reachable_official_count,rendered_ready_count,blocked_count,source_strategy,preferred_source_type,preferred_source_url,preferred_source_domain,preferred_source_hash,public_model
1,top_20,Tesla,Model Y,2412,3,3,0,1,3,published_mvp_source_complete,manufacturer_indexed_model_page,https://www.tesla.com/sv_SE/modely?redirect=no,tesla.com,ccd9c8edc0324326574c19be39215128d8dc337f878b469a7df8e667501fec95,true
2,top_20,Volvo,Ex30,1494,3,3,0,1,3,published_mvp_source_complete,manufacturer_rendered_model_page,https://www.volvocars.com/se/cars/ex30-electric/,volvocars.com,ea9c1d5431eb090500b23c813059b9d6684c72b2bac4f55e8818dfc6df3d9790,true
3,top_20,Polestar,4,1306,3,3,2,0,1,published_mvp_source_complete,manufacturer_specs_page,https://www.polestar.com/se/polestar-4/specifications/,polestar.com,ab701b26c7020a7bf42e74527299cbdf9d3a28898ebcfa7423fdf9456c97f70a,true
4,top_20,Kia,Ev3,980,4,4,4,0,0,published_mvp_source_complete,manufacturer_price_list,https://www.kia.com/se/kopa/prislista/,kia.com,dcf6b34e5de45d4dfffce96ee3e032caca87aac5370c0e36b18506d196370d56,true
5,top_20,Toyota,bZ4X,877,3,3,1,1,2,published_mvp_source_complete,manufacturer_model_page,https://www.toyota.se/nya-bilar/bz4x/,toyota.se,3a71fa58ead3523cee0a77556006644408846eaa67fc069ba6c4b7903eb55720,true
6,top_20,Kia,Ev5,871,4,4,4,0,0,published_mvp_source_complete,manufacturer_price_list,https://www.kia.com/se/kopa/prislista/,kia.com,dcf6b34e5de45d4dfffce96ee3e032caca87aac5370c0e36b18506d196370d56,true
7,top_20,Skoda,Enyaq,734,3,3,2,0,1,published_mvp_source_complete,manufacturer_price_list,https://www.skoda.se/_doc/1d23f075-2685-40f9-ad6f-a31b09f3d660,skoda.se,e5b8339cccd57f230fd9a7340a2a011e6e3dbef11f1a1b9e463731c484b8d1d8,true
8,top_20,Volkswagen,Id.4,710,2,2,1,0,1,published_mvp_source_complete,manufacturer_model_page,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id4.html,volkswagen.se,e36a3771ba8ad199fd8c90081fdbaa1ac1ea61258eda33ee704a7875bcb599b7,true
9,top_20,Kia,Ev9,573,4,4,3,0,1,published_mvp_source_complete,manufacturer_price_list,https://www.kia.com/se/kopa/prislista/,kia.com,dcf6b34e5de45d4dfffce96ee3e032caca87aac5370c0e36b18506d196370d56,true
10,top_20,Mercedes-Benz,Eqa,556,3,3,0,3,3,published_mvp_source_complete,manufacturer_indexed_model_page,https://www.mercedes-benz.se/passengercars/mercedes-benz-cars/models/eqa/explore.html?urlReference=937cb25de1b4467c85b1a4b7fcb32810,mercedes-benz.se,fe86b5985ccbb9e50fcb8d3bb3411194d064b7fd2cd6f196054c2cff405b5467,true
11,top_20,Renault,5,552,4,4,4,1,0,published_mvp_source_complete,manufacturer_price_list,https://www.renault.se/personbilar/elbilar/r5-e-tech-electric/versioner_och_priser,renault.se,75f78e6d1baeee7e6d7c166fcae09e87cdd3af4dc59554de14caa9dfd6373a46,true
12,top_20,BMW,iX1,477,3,3,1,1,2,published_mvp_source_complete,manufacturer_rendered_model_page,https://www.bmw.se/sv/alla-modeller/i-series/ix1/bmw-ix1-tekniska-data.html,bmw.se,745d98611dd50f06e68b976a0f76cd731fd0a67e9858fd449b195113f7f3f5f2,true
